title,imdb_id,year,rating,vote_count,duration_min,genres,plot,url
The Shawshank Redemption,tt0111161,1994,9.3,3200000,,,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,https://www.imdb.com/title/tt0111161/?ref_=sr_t_1
The Godfather,tt0068646,1972,9.2,2200000,,,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/?ref_=sr_t_2
Attack on Titan: The Last Attack,tt33175825,2024,9.2,26000,,,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",https://www.imdb.com/title/tt33175825/?ref_=sr_t_3
The Dark Knight,tt0468569,2008,9.1,3200000,,,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/?ref_=sr_t_4
Schindler's List,tt0108052,1993,9.0,1600000,,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com/title/tt0108052/?ref_=sr_t_5
12 Angry Men,tt0050083,1957,9.0,980000,,,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://www.imdb.com/title/tt0050083/?ref_=sr_t_6
The Lord of the Rings: The Return of the King,tt0167260,2003,9.0,2200000,,,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/?ref_=sr_t_7
The Godfather Part II,tt0071562,1974,9.0,1500000,,,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/?ref_=sr_t_8
The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,8.9,2200000,,,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/?ref_=sr_t_9
Inception,tt1375666,2010,8.8,2800000,,,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/?ref_=sr_t_10
Pulp Fiction,tt0110912,1994,8.8,2400000,,,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/?ref_=sr_t_11
Fight Club,tt0137523,1999,8.8,2600000,,,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/?ref_=sr_t_12
Forrest Gump,tt0109830,1994,8.8,2500000,,,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://www.imdb.com/title/tt0109830/?ref_=sr_t_13
Kill Bill: The Whole Bloody Affair,tt6019206,2004,8.8,33000,,,"A female assassin seeks revenge on her former lover and squad members, all of whom left her for dead.",https://www.imdb.com/title/tt6019206/?ref_=sr_t_14
The Lord of the Rings: The Two Towers,tt0167261,2002,8.8,2000000,,,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/?ref_=sr_t_15
"The Good, the Bad and the Ugly",tt0060196,1966,8.8,889000,,,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/?ref_=sr_t_16
Interstellar,tt0816692,2014,8.7,2500000,,,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/?ref_=sr_t_17
The Matrix,tt0133093,1999,8.7,2200000,,,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com/title/tt0133093/?ref_=sr_t_18
GoodFellas,tt0099685,1990,8.7,1400000,,,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://www.imdb.com/title/tt0099685/?ref_=sr_t_19
12th Fail,tt23849204,2023,8.7,170000,,,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/?ref_=sr_t_20
Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,8.7,1500000,,,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",https://www.imdb.com/title/tt0080684/?ref_=sr_t_21
777 Charlie,tt7466810,2022,8.7,47000,,,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,https://www.imdb.com/title/tt7466810/?ref_=sr_t_22
Seven,tt0114369,1995,8.6,2000000,,,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,https://www.imdb.com/title/tt0114369/?ref_=sr_t_23
The Silence of the Lambs,tt0102926,1991,8.6,1700000,,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/?ref_=sr_t_24
The Green Mile,tt0120689,1999,8.6,1600000,,,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,https://www.imdb.com/title/tt0120689/?ref_=sr_t_25
City of God,tt0317248,2002,8.6,868000,,,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.imdb.com/title/tt0317248/?ref_=sr_t_26
Saving Private Ryan,tt0120815,1998,8.6,1600000,,,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",https://www.imdb.com/title/tt0120815/?ref_=sr_t_27
One Flew Over the Cuckoo's Nest,tt0073486,1975,8.6,1200000,,,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",https://www.imdb.com/title/tt0073486/?ref_=sr_t_28
Spirited Away,tt0245429,2001,8.6,962000,,,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/?ref_=sr_t_29
Life Is Beautiful,tt0118799,1997,8.6,810000,,,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://www.imdb.com/title/tt0118799/?ref_=sr_t_30
Terminator 2: Judgment Day,tt0103064,1991,8.6,1300000,,,"A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/?ref_=sr_t_31
Star Wars: Episode IV - A New Hope,tt0076759,1977,8.6,1600000,,,"A farmboy joins forces with various allies to save their galaxy from the evil Empire's planet-destroying battle station, while also rescuing the princess leading the rebellion against them.",https://www.imdb.com/title/tt0076759/?ref_=sr_t_32
Seven Samurai,tt0047478,1954,8.6,401000,,,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://www.imdb.com/title/tt0047478/?ref_=sr_t_33
It's a Wonderful Life,tt0038650,1946,8.6,554000,,,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,https://www.imdb.com/title/tt0038650/?ref_=sr_t_34
Harakiri,tt0056058,1962,8.6,90000,,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",https://www.imdb.com/title/tt0056058/?ref_=sr_t_35
Jai Bhim,tt15097216,2021,8.6,234000,,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/?ref_=sr_t_36
Soorarai Pottru,tt10189514,2020,8.6,132000,,,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks",https://www.imdb.com/title/tt10189514/?ref_=sr_t_37
Rocketry: The Nambi Effect,tt9263550,2022,8.6,62000,,,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",https://www.imdb.com/title/tt9263550/?ref_=sr_t_38
Nayakan,tt0093603,1987,8.6,28000,,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",https://www.imdb.com/title/tt0093603/?ref_=sr_t_39
Anbe Sivam,tt0367495,2003,8.6,28000,,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",https://www.imdb.com/title/tt0367495/?ref_=sr_t_40
Dhurandhar The Revenge,tt39139925,2026,8.5,42000,,,"Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betrayal, and survival in a ruthless underworld.",https://www.imdb.com/title/tt39139925/?ref_=sr_t_41
The Prestige,tt0482571,2006,8.5,1600000,,,"Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequences.",https://www.imdb.com/title/tt0482571/?ref_=sr_t_42
The Departed,tt0407887,2006,8.5,1500000,,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/?ref_=sr_t_43
